Date	Value
August 31, 2024	49.10
July 31, 2024	49.40
June 30, 2024	49.50
May 31, 2024	49.50
April 30, 2024	50.40
March 31, 2024	50.80
February 29, 2024	49.10
January 31, 2024	49.20
December 31, 2023	49.00
November 30, 2023	49.40
October 31, 2023	49.50
September 30, 2023	50.20
August 31, 2023	49.70
July 31, 2023	49.30
June 30, 2023	49.00
May 31, 2023	48.80
April 30, 2023	49.20
March 31, 2023	51.90
February 28, 2023	52.60
January 31, 2023	50.10
December 31, 2022	47.00
November 30, 2022	48.00
October 31, 2022	49.20
September 30, 2022	50.10
August 31, 2022	49.40
July 31, 2022	49.00
June 30, 2022	50.20
May 31, 2022	49.60
April 30, 2022	47.40
March 31, 2022	49.50
February 28, 2022	50.20
January 31, 2022	50.10
December 31, 2021	50.30
November 30, 2021	50.10
October 31, 2021	49.20
September 30, 2021	49.60
August 31, 2021	50.10
July 31, 2021	50.40
June 30, 2021	50.90
May 31, 2021	51.00
April 30, 2021	51.10
March 31, 2021	51.90
February 28, 2021	50.60
January 31, 2021	51.30
December 31, 2020	51.90
November 30, 2020	52.10
October 31, 2020	51.40
September 30, 2020	51.50
August 31, 2020	51.00
July 31, 2020	51.10
